coin_id,coin_name,coin_code,info_url,price,h1,h24,d7,h24_volume,market_cap,sparkline_url,market_per_trade
12843,Rally,RLY,https://www.coingecko.com/en/coins/rally,0.658956,3.5,15.3,11.8,18171415,156913221,https://www.coingecko.com/coins/12843/sparkline,0.11580550628044274
13585,ZKSwap,ZKS,https://www.coingecko.com/en/coins/zkswap,1.03,-0.5,7.7,21.3,26582950,231536552,https://www.coingecko.com/coins/13585/sparkline,0.11481102992325808
12837,RAMP,RAMP,https://www.coingecko.com/en/coins/ramp,0.320152,-0.3,7.4,-2.5,11910296,106661011,https://www.coingecko.com/coins/12837/sparkline,0.11166494568479197
14040,SuperFarm,SUPER,https://www.coingecko.com/en/coins/superfarm,0.902673,0.8,5.5,-9.6,29614485,267269486,https://www.coingecko.com/coins/14040/sparkline,0.11080383863947717
3373,Keep Network,KEEP,https://www.coingecko.com/en/coins/keep-network,0.423019,-0.1,8.6,9,25048458,232303388,https://www.coingecko.com/coins/3373/sparkline,0.10782648594001565
14165,Alpaca Finance,ALPACA,https://www.coingecko.com/en/coins/alpaca-finance,1.24,-0.1,4.2,-13.7,19340228,180563459,https://www.coingecko.com/coins/14165/sparkline,0.10711042038688459
13825,Litentry,LIT,https://www.coingecko.com/en/coins/litentry,5.22,-0.5,10.2,-1.9,14656781,144643502,https://www.coingecko.com/coins/13825/sparkline,0.10133037984658308
95,BitShares,BTS,https://www.coingecko.com/en/coins/bitshares,0.057311919155,0,6.3,-3.2,14811472,155504998,https://www.coingecko.com/coins/95/sparkline,0.09524756239667614
11890,Wrapped NXM,WNXM,https://www.coingecko.com/en/coins/wrapped-nxm,71.29,0.4,4.2,-8.1,14828571,157706249,https://www.coingecko.com/coins/11890/sparkline,0.09402652776301845
3293,Hifi Finance,MFT,https://www.coingecko.com/en/coins/hifi-finance,0.012281963608,0,7.2,2.6,10802374,115444965,https://www.coingecko.com/coins/3293/sparkline,0.09357163389499057
3687,Ocean Protocol,OCEAN,https://www.coingecko.com/en/coins/ocean-protocol,0.85862,0.4,5.7,-7.9,34571575,371589858,https://www.coingecko.com/coins/3687/sparkline,0.09303691760069512
13162,Oasis Network,ROSE,https://www.coingecko.com/en/coins/oasis-network,0.102651,0.6,7.2,3.6,14195392,154175777,https://www.coingecko.com/coins/13162/sparkline,0.09207277742469233
14575,Tribe,TRIBE,https://www.coingecko.com/en/coins/tribe,0.858613,-0.2,-4.1,33.1,35386818,388819719,https://www.coingecko.com/coins/14575/sparkline,0.09101086254321376
646,iExec RLC,RLC,https://www.coingecko.com/en/coins/iexec-rlc,4.61,-0.1,6.8,-0.3,28825485,329676939,https://www.coingecko.com/coins/646/sparkline,0.08743555156583155
525,Ardor,ARDR,https://www.coingecko.com/en/coins/ardor,0.290676,0.1,3.5,7.6,25153640,289912682,https://www.coingecko.com/coins/525/sparkline,0.08676281363917705
13180,TrueFi,TRU,https://www.coingecko.com/en/coins/truefi,0.570172,3.4,9.3,-15.7,20164388,239747214,https://www.coingecko.com/coins/13180/sparkline,0.08410687099788362
13079,Conflux,CFX,https://www.coingecko.com/en/coins/conflux,0.336091,1.1,10.4,0.5,24114331,289598400,https://www.coingecko.com/coins/13079/sparkline,0.0832681775866165
531,Stratis,STRAX,https://www.coingecko.com/en/coins/stratis,2.31,0.2,7.9,4.6,19130171,230735644,https://www.coingecko.com/coins/531/sparkline,0.08290947453268209
13866,Zipmex Token,ZMT,https://www.coingecko.com/en/coins/zipmex-token,1.84,0.1,-0.7,-0.3,9473973,115107492,https://www.coingecko.com/coins/13866/sparkline,0.0823054419429102
11038,Cartesi,CTSI,https://www.coingecko.com/en/coins/cartesi,0.766165,-0.4,5.6,-2.9,24934552,304690239,https://www.coingecko.com/coins/11038/sparkline,0.08183574269341788
1104,Power Ledger,POWR,https://www.coingecko.com/en/coins/power-ledger,0.326596,-0.1,6.5,4.8,11208139,140323645,https://www.coingecko.com/coins/1104/sparkline,0.07987348817799024
203,Verge,XVG,https://www.coingecko.com/en/coins/verge,0.027793986613,-0.1,7,-18.2,35346515,457219876,https://www.coingecko.com/coins/203/sparkline,0.07730747689542701
11085,Trust Wallet Token,TWT,https://www.coingecko.com/en/coins/trust-wallet-token,0.884561,0,6.4,9.4,23377532,306092581,https://www.coingecko.com/coins/11085/sparkline,0.07637405625326149
761,FUNToken,FUN,https://www.coingecko.com/en/coins/fun-token,0.031292912202,0.4,3.4,6.1,25326464,332109133,https://www.coingecko.com/coins/761/sparkline,0.07625946257852535
13287,Badger DAO,BADGER,https://www.coingecko.com/en/coins/badger-dao,23.44,3,14.7,-10.2,16308725,220230487,https://www.coingecko.com/coins/13287/sparkline,0.07405298522542884
14392,ETH 2x Flexible Leverage Index,ETH2X-FLI,https://www.coingecko.com/en/coins/eth-2x-flexible-leverage-index,145.32,-0.1,9.8,-0.8,8212757,117170081,https://www.coingecko.com/coins/14392/sparkline,0.07009261178201286
12677,Venus,XVS,https://www.coingecko.com/en/coins/venus,33.02,-0.5,5.7,-8.9,24681816,354952896,https://www.coingecko.com/coins/12677/sparkline,0.06953546872878592
11811,bZx Protocol,BZRX,https://www.coingecko.com/en/coins/bzx-protocol,0.383727,0.4,6.9,-2.9,7625046,109903059,https://www.coingecko.com/coins/11811/sparkline,0.06937974310614957
14571,Pundi X,PUNDIX,https://www.coingecko.com/en/coins/pundi-x-new,1.8,-0.4,7.3,1.2,32165965,468749590,https://www.coingecko.com/coins/14571/sparkline,0.06862078535364692
9129,WINkLink,WIN,https://www.coingecko.com/en/coins/winklink,0.000614041674,0.3,5.1,-11.5,31678581,470770062,https://www.coingecko.com/coins/9129/sparkline,0.06729098461660461
14468,Illuvium,ILV,https://www.coingecko.com/en/coins/illuvium,517.19,-0.3,3.5,5.5,21713926,327751993,https://www.coingecko.com/coins/14468/sparkline,0.0662510876020821
16859,Pylon Protocol,MINE,https://www.coingecko.com/en/coins/pylon-protocol,0.185971,-2.7,0,NULL,7275714,110929025,https://www.coingecko.com/coins/16859/sparkline,0.06558891146839162
681,Aragon,ANT,https://www.coingecko.com/en/coins/aragon,4.87,-0.1,5.9,-4.4,10863220,179731917,https://www.coingecko.com/coins/681/sparkline,0.060441240383587516
849,district0x,DNT,https://www.coingecko.com/en/coins/district0x,0.185511,0.1,6.4,-3.1,8375722,139562713,https://www.coingecko.com/coins/849/sparkline,0.06001403827682828
779,Status,SNT,https://www.coingecko.com/en/coins/status,0.098684868494,0,7.3,-1.6,23104062,385387935,https://www.coingecko.com/coins/779/sparkline,0.0599501434833449
7603,Token Pocket,TPT,https://www.coingecko.com/en/coins/token-pocket,0.065946260436,-0.3,17.3,68.7,13606729,228896003,https://www.coingecko.com/coins/7603/sparkline,0.05944502665693118
14168,Covalent,CQT,https://www.coingecko.com/en/coins/covalent,1.4,-0.1,6.7,-13.3,9467413,161413001,https://www.coingecko.com/coins/14168/sparkline,0.058653348499480534
14570,Fei Protocol,FEI,https://www.coingecko.com/en/coins/fei-protocol,0.996052,-0.2,-0.5,0,24891022,434076380,https://www.coingecko.com/coins/14570/sparkline,0.05734249350310192
12451,Phala Network,PHA,https://www.coingecko.com/en/coins/phala-network,0.813605,-0.2,1.1,1.8,8490989,148184455,https://www.coingecko.com/coins/12451/sparkline,0.0573001331347475
2784,Polymath,POLY,https://www.coingecko.com/en/coins/polymath,0.358536,-1.2,7.5,10.6,17712446,312136185,https://www.coingecko.com/coins/2784/sparkline,0.05674589122052607
12260,Tokamak Network,TON,https://www.coingecko.com/en/coins/tokamak-network,8.77,-0.2,7.4,3.6,18723854,334070015,https://www.coingecko.com/coins/12260/sparkline,0.056047694073950334
5230,VeThor Token,VTHO,https://www.coingecko.com/en/coins/vethor-token,0.011547351188,-0.2,5.2,-16.4,25456980,454462263,https://www.coingecko.com/coins/5230/sparkline,0.056015608055008076
12882,Injective Protocol,INJ,https://www.coingecko.com/en/coins/injective-protocol,11.6,-0.4,7.1,8.4,21222437,379722531,https://www.coingecko.com/coins/12882/sparkline,0.05588932777865636
5681,Fetch.ai,FET,https://www.coingecko.com/en/coins/fetch-ai,0.554193,0.2,8.1,-1.2,20751636,380890733,https://www.coingecko.com/coins/5681/sparkline,0.054481861074840064
1031,Request,REQ,https://www.coingecko.com/en/coins/request-network,0.243806,-0.8,4.1,-15.9,10165727,187013138,https://www.coingecko.com/coins/1031/sparkline,0.05435835743262059
14449,BTC Standard Hashrate Token,BTCST,https://www.coingecko.com/en/coins/btc-standard-hashrate-token,24.03,-0.4,9.8,-2.6,9403841,174857903,https://www.coingecko.com/coins/14449/sparkline,0.05377990264472061
3375,NKN,NKN,https://www.coingecko.com/en/coins/nkn,0.430177,0.4,7.5,-8.9,15035688,280405149,https://www.coingecko.com/coins/3375/sparkline,0.05362129780291588
11973,PARSIQ,PRQ,https://www.coingecko.com/en/coins/parsiq,0.853719,-0.4,21.6,-8.4,5360671,100824729,https://www.coingecko.com/coins/11973/sparkline,0.05316821630137979
5135,IRISnet,IRIS,https://www.coingecko.com/en/coins/irisnet,0.114537,-0.3,7.5,0.1,6593985,124388519,https://www.coingecko.com/coins/5135/sparkline,0.053011202746131254
5992,Gemini Dollar,GUSD,https://www.coingecko.com/en/coins/gemini-dollar,0.998581,0,0.8,0.1,10485309,201582651,https://www.coingecko.com/coins/5992/sparkline,0.05201493753547273
1369,StormX,STMX,https://www.coingecko.com/en/coins/stormx,0.030112803964,0.2,7.4,1.3,14430308,279245521,https://www.coingecko.com/coins/1369/sparkline,0.051676058933099234
15174,Chia,XCH,https://www.coingecko.com/en/coins/chia,250.59,0,4,-1.9,19474861,388701675,https://www.coingecko.com/coins/15174/sparkline,0.050102333621279097
10840,Hive,HIVE,https://www.coingecko.com/en/coins/hive,0.569457,-1,7.5,11.1,10672318,214580023,https://www.coingecko.com/coins/10840/sparkline,0.04973584143944285
17753,SuperRare,RARE,https://www.coingecko.com/en/coins/superrare,2.95,-1.6,17.3,135.9,19796736,398228693,https://www.coingecko.com/coins/17753/sparkline,0.04971197793625584
13267,Decentral Games,DG,https://www.coingecko.com/en/coins/decentral-games,333.69,0.4,24.5,25,5132881,104126654,https://www.coingecko.com/coins/13267/sparkline,0.04929459271782612
12392,AllianceBlock,ALBT,https://www.coingecko.com/en/coins/allianceblock,1.11,1.8,27.2,61.5,12330657,255503423,https://www.coingecko.com/coins/12392/sparkline,0.048260241898990135
4630,Orbs,ORBS,https://www.coingecko.com/en/coins/orbs,0.10567,-0.1,5.7,7.9,11530297,241680991,https://www.coingecko.com/coins/4630/sparkline,0.0477087459476695
15585,Convex Finance,CVX,https://www.coingecko.com/en/coins/convex-finance,6.87,1.7,3.7,-11.1,6634601,142497419,https://www.coingecko.com/coins/15585/sparkline,0.04655944680654181
14899,Kyber Network Crystal,KNC,https://www.coingecko.com/en/coins/kyber-network-crystal,1.96,0.1,6.8,-0.4,9211659,201725992,https://www.coingecko.com/coins/14899/sparkline,0.04566421465410367
13256,API3,API3,https://www.coingecko.com/en/coins/api3,4.6,0.3,11.8,5.8,7322611,162375815,https://www.coingecko.com/coins/13256/sparkline,0.045096685119024656
11841,Orion Protocol,ORN,https://www.coingecko.com/en/coins/orion-protocol,8.36,0.1,4.2,-12.1,11263888,251472500,https://www.coingecko.com/coins/11841/sparkline,0.04479172871785185
752,Numeraire,NMR,https://www.coingecko.com/en/coins/numeraire,43.32,0,4.8,1.2,10952062,250109335,https://www.coingecko.com/coins/752/sparkline,0.04378909727619723
5013,sUSD,SUSD,https://www.coingecko.com/en/coins/susd,0.997414,-0.1,-0.5,-0.5,13288129,312738918,https://www.coingecko.com/coins/5013/sparkline,0.04248952795826965
613,Ark,ARK,https://www.coingecko.com/en/coins/ark,1.38,-0.3,6.4,7.2,9318391,219691123,https://www.coingecko.com/coins/613/sparkline,0.04241587403602102
14612,Cardstarter,CARDS,https://www.coingecko.com/en/coins/cardstarter,28.97,-0.8,8.9,-10.1,5252392,125719882,https://www.coingecko.com/coins/14612/sparkline,0.04177853109979852
11845,Rarible,RARI,https://www.coingecko.com/en/coins/rarible,32.87,-0.9,10.1,36.9,6469366,156161303,https://www.coingecko.com/coins/11845/sparkline,0.04142745914459999
3014,Travala.com,AVA,https://www.coingecko.com/en/coins/travala,3.05,-0.2,2.6,-5,6602725,159460612,https://www.coingecko.com/coins/3014/sparkline,0.04140662021289621
13915,DAO Maker,DAO,https://www.coingecko.com/en/coins/dao-maker,2.33,0.6,3.4,7.3,4706982,115563895,https://www.coingecko.com/coins/13915/sparkline,0.040730558623002455
13761,PAID Network,PAID,https://www.coingecko.com/en/coins/paid-network,1.38,4.4,16.7,18.4,5442092,135267833,https://www.coingecko.com/coins/13761/sparkline,0.04023197444140323
13422,Frax,FRAX,https://www.coingecko.com/en/coins/frax,0.99834,0,-0.4,-0.3,12484031,310775328,https://www.coingecko.com/coins/13422/sparkline,0.04017059874199538
7137, Livepeer,LPT,https://www.coingecko.com/en/coins/livepeer,19.86,-0.3,8.2,-8.6,19050702,479098515,https://www.coingecko.com/coins/7137/sparkline,0.039763642348171334
15407,Wilder World,WILD,https://www.coingecko.com/en/coins/wilder-world,2.07,-4,-11.9,84.4,5827230,148444494,https://www.coingecko.com/coins/15407/sparkline,0.039255278811486265
9566,Nervos Network,CKB,https://www.coingecko.com/en/coins/nervos-network,0.015280323597,0.8,5.6,1.7,16399121,419835903,https://www.coingecko.com/coins/9566/sparkline,0.03906078751916555
8838,sBTC,SBTC,https://www.coingecko.com/en/coins/sbtc,48987,-0.1,4.1,-0.5,7919131,203731136,https://www.coingecko.com/coins/8838/sparkline,0.0388704994017213
13423,Frax Share,FXS,https://www.coingecko.com/en/coins/frax-share,6.82,-0.1,9.4,66.7,8315434,217953809,https://www.coingecko.com/coins/13423/sparkline,0.038152276567921785
16824,StarLink,STARL,https://www.coingecko.com/en/coins/starlink,0.000019172686,-2.3,-5.3,16,7223676,191734296,https://www.coingecko.com/coins/16824/sparkline,0.03767545061421875
16801,The Truth,UFO,https://www.coingecko.com/en/coins/the-truth,0.000006026024,-2.7,27.6,73.5,5947480,157960532,https://www.coingecko.com/coins/16801/sparkline,0.03765168377629926
398,Steem,STEEM,https://www.coingecko.com/en/coins/steem,0.583851,0,5.7,3.5,8530577,226771543,https://www.coingecko.com/coins/398/sparkline,0.0376174933024996
13005,KeeperDAO,ROOK,https://www.coingecko.com/en/coins/keeperdao,177.09,9,14.3,-9.8,3896629,105311086,https://www.coingecko.com/coins/13005/sparkline,0.03700112825728528
12493,Gala,GALA,https://www.coingecko.com/en/coins/gala,0.031022342038,-0.3,2.5,46.7,8530292,233386751,https://www.coingecko.com/coins/12493/sparkline,0.03655002678365406
9805,Newscrypto Coin,NWC,https://www.coingecko.com/en/coins/newscrypto-coin,1.03,-0.2,10.2,46.9,5581763,155765043,https://www.coingecko.com/coins/9805/sparkline,0.03583450363763582
17470,EDEN,EDEN,https://www.coingecko.com/en/coins/eden,4.31,0.1,10.8,17.8,11249675,319564943,https://www.coingecko.com/coins/17470/sparkline,0.035203094852616544
3416,TomoChain,TOMO,https://www.coingecko.com/en/coins/tomochain,3.32,2.9,11.8,1.5,9518695,278506021,https://www.coingecko.com/coins/3416/sparkline,0.03417769916004796
11797,WHALE,WHALE,https://www.coingecko.com/en/coins/whale,20.74,1.6,1.3,65.3,4329556,129204206,https://www.coingecko.com/coins/11797/sparkline,0.03350940448486638
12783,TON Crystal,TON,https://www.coingecko.com/en/coins/ton-crystal,0.389892,0.1,0.3,0.1,8132576,247771680,https://www.coingecko.com/coins/12783/sparkline,0.03282286337163311
611,Komodo,KMD,https://www.coingecko.com/en/coins/komodo,1.08,-0.3,6,-8.5,4418033,137551527,https://www.coingecko.com/coins/611/sparkline,0.03211911271621143
11636,Render Token,RNDR,https://www.coingecko.com/en/coins/render-token,1.28,0.1,3.9,-3.7,5701685,197096378,https://www.coingecko.com/coins/11636/sparkline,0.028928410850857948
3482,Wanchain,WAN,https://www.coingecko.com/en/coins/wanchain,0.853701,-0.2,7.4,-3.3,4162959,150739274,https://www.coingecko.com/coins/3482/sparkline,0.027616950045812216
9519,PAX Gold,PAXG,https://www.coingecko.com/en/coins/pax-gold,1820.81,-0.3,0.7,1.9,8620455,328769074,https://www.coingecko.com/coins/9519/sparkline,0.026220395048471012
12718,Hathor,HTR,https://www.coingecko.com/en/coins/hathor,0.836623,0.5,10.6,-4.1,4649847,177775179,https://www.coingecko.com/coins/12718/sparkline,0.026155771723340524
17106,Wrapped Centrifuge,WCFG,https://www.coingecko.com/en/coins/wrapped-centrifuge,1.2,0.3,4.2,-10.3,2637211,101265987,https://www.coingecko.com/coins/17106/sparkline,0.026042416393966514
14773,Mango Markets,MNGO,https://www.coingecko.com/en/coins/mango-markets,0.312749,0.3,22.9,28.7,8077407,312008241,https://www.coingecko.com/coins/14773/sparkline,0.02588844119665416
14113,Alchemix,ALCX,https://www.coingecko.com/en/coins/alchemix,329.14,-0.1,-0.7,-9.7,5018107,202002190,https://www.coingecko.com/coins/14113/sparkline,0.024841844536437948
13573,Lido DAO,LDO,https://www.coingecko.com/en/coins/lido-dao,6.3,0.7,13.8,-0.5,6463525,260335578,https://www.coingecko.com/coins/13573/sparkline,0.02482766685082129
10117,Neutrino USD,USDN,https://www.coingecko.com/en/coins/neutrino-usd,0.999559,0.1,0.1,-0.3,11366776,474500668,https://www.coingecko.com/coins/10117/sparkline,0.023955237087253164
11093,Sora,XOR,https://www.coingecko.com/en/coins/sora,307.55,-0.1,-4,47,2388330,105804200,https://www.coingecko.com/coins/11093/sparkline,0.02257311146438421
